BranchCode,YearOpened,MonthOpened,QuaterOpened,LocationCluster,StoreType,edcType,StoreProvince
287,2017,8,Q3,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
279,2017,9,Q3,City,CJSUPERMARKET,Welfare,Bangkok
281,2017,9,Q3,CityEdge,CJSUPERMARKET,Welfare,Sing Buri
295,2017,9,Q3,NearFactory,CJSUPERMARKET,Welfare,Chon Buri
286,2017,9,Q3,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
294,2017,9,Q3,NearFactory,CJSUPERMARKET,Welfare,Nakhon Pathom
292,2017,9,Q3,NearFactory,CJSUPERMARKET,Welfare,Nakhon Pathom
293,2017,10,Q4,NearFactory,CJSUPERMARKET,Welfare,Chachoengsao
296,2017,10,Q4,Downtown,CJSUPERMARKET,Welfare,Suphan Buri
297,2017,10,Q4,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
299,2018,1,Q1,NearFactory,CJSUPERMARKET,Welfare,Chon Buri
289,2018,1,Q1,Oasis,CJSUPERMARKET,Welfare,Nakhon Pathom
288,2018,2,Q1,Suburb,CJSUPERMARKET,Welfare,Samut Sakhon
300,2018,2,Q1,CityEdge,CJSUPERMARKET,Welfare,Ratchaburi
298,2018,3,Q1,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
303,2018,4,Q2,Oasis,CJSUPERMARKET,Emoney,Ayutthaya
304,2018,4,Q2,City,CJSUPERMARKET,Emoney,Nonthaburi
301,2018,4,Q2,City,CJSUPERMARKET,Emoney,Bangkok
306,2018,5,Q2,Oasis,CJSUPERMARKET,Emoney,Chon Buri
309,2018,5,Q2,NearFactory,CJSUPERMARKET,Emoney,Rayong
305,2018,5,Q2,NearFactory,CJSUPERMARKET,Emoney,Samut Prakan
311,2018,5,Q2,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
302,2018,5,Q2,Suburb,CJSUPERMARKET,Emoney,Nonthaburi
310,2018,5,Q2,NearFactory,CJSUPERMARKET,Emoney,Samut Prakan
314,2018,5,Q2,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
318,2018,6,Q2,City,CJSUPERMARKET,Emoney,Samut Prakan
317,2018,6,Q2,Suburb,CJSUPERMARKET,Emoney,Nonthaburi
319,2018,6,Q2,Downtown,CJSUPERMARKET,Emoney,Chon Buri
315,2018,7,Q3,NearFactory,CJSUPERMARKET,Emoney,Ayutthaya
320,2018,7,Q3,Downtown,CJSUPERMARKET,Emoney,Rayong
316,2018,7,Q3,Oasis,CJSUPERMARKET,Emoney,Chon Buri
313,2018,7,Q3,NearFactory,CJSUPERMARKET,Emoney,Ayutthaya
312,2018,7,Q3,NearFactory,CJSUPERMARKET,Emoney,Samut Prakan
321,2018,7,Q3,CityEdge,CJSUPERMARKET,Welfare,Phetchaburi
325,2018,7,Q3,CityEdge,CJSUPERMARKET,Emoney,Ratchaburi
324,2018,7,Q3,Oasis,CJSUPERMARKET,Emoney,Rayong
308,2018,7,Q3,CityEdge,CJSUPERMARKET,Emoney,Chon Buri
326,2018,8,Q3,NearFactory,CJSUPERMARKET,Emoney,Rayong
322,2018,8,Q3,Suburb,CJSUPERMARKET,Emoney,Nonthaburi
327,2018,9,Q3,City,CJSUPERMARKET,Emoney,Samut Prakan
329,2018,9,Q3,City,CJSUPERMARKET,Emoney,Bangkok
328,2018,9,Q3,Oasis,CJSUPERMARKET,Emoney,Uthai Thani
323,2018,9,Q3,Downtown,CJSUPERMARKET,Welfare,Ratchaburi
330,2018,9,Q3,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
334,2018,9,Q3,NearFactory,CJSUPERMARKET,Emoney,Rayong
335,2018,9,Q3,Oasis,CJSUPERMARKET,Emoney,Uthai Thani
331,2018,9,Q3,Oasis,CJSUPERMARKET,Emoney,Ang Thong
333,2018,9,Q3,CityEdge,CJSUPERMARKET,Emoney,Ayutthaya
332,2018,9,Q3,CityEdge,CJSUPERMARKET,Emoney,Suphan Buri
336,2018,10,Q4,Oasis,CJSUPERMARKET,Emoney,Uthai Thani
338,2018,10,Q4,Downtown,CJSUPERMARKET,Emoney,Suphan Buri
337,2018,10,Q4,City,CJSUPERMARKET,Emoney,Bangkok
344,2018,10,Q4,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
345,2018,10,Q4,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
348,2018,10,Q4,NearFactory,CJSUPERMARKET,Emoney,Saraburi
347,2018,10,Q4,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
341,2018,10,Q4,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
343,2018,11,Q4,Oasis,CJSUPERMARKET,Emoney,Nakhon Pathom
291,2018,11,Q4,Downtown,CJSUPERMARKET,Emoney,Suphan Buri
346,2018,11,Q4,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
351,2018,11,Q4,NearFactory,CJSUPERMARKET,Special,Chachoengsao
340,2018,11,Q4,NearFactory,CJSUPERMARKET,Emoney,Rayong
342,2018,11,Q4,NearFactory,CJSUPERMARKET,Emoney,Kanchanaburi
352,2018,11,Q4,Downtown,CJSUPERMARKET,Emoney,Chon Buri
350,2018,11,Q4,NearFactory,CJSUPERMARKET,Emoney,Rayong
354,2018,11,Q4,Downtown,CJSUPERMARKET,Emoney,Chon Buri
339,2018,11,Q4,NearFactory,CJSUPERMARKET,Welfare,Ratchaburi
353,2018,12,Q4,NearFactory,CJSUPERMARKET,Emoney,Pathum Thani
357,2018,12,Q4,CityEdge,CJSUPERMARKET,Emoney,Phetchaburi
356,2018,12,Q4,Downtown,CJSUPERMARKET,Emoney,Prachuap Khiri Khan
362,2019,1,Q1,Downtown,CJSUPERMARKET,Emoney,Chai Nat
363,2019,1,Q1,Oasis,CJSUPERMARKET,Emoney,Suphan Buri
349,2019,1,Q1,Downtown,CJSUPERMARKET,Emoney,Chon Buri
365,2019,1,Q1,NearFactory,CJSUPERMARKET,Emoney,Ayutthaya
367,2019,1,Q1,NearFactory,CJSUPERMARKET,Emoney,Samut Prakan
359,2019,1,Q1,Downtown,CJSUPERMARKET,Emoney,Chon Buri
361,2019,1,Q1,NearFactory,CJSUPERMARKET,Emoney,Chon Buri
366,2019,1,Q1,NearFactory,CJSUPERMARKET,Emoney,Rayong
368,2019,1,Q1,NearFactory,CJSUPERMARKET,Emoney,Rayong
373,2019,1,Q1,Oasis,CJSUPERMARKET,Emoney,Ayutthaya
360,2019,1,Q1,City,CJSUPERMARKET,Emoney,Samut Prakan
372,2019,2,Q1,Downtown,CJSUPERMARKET,Emoney,Chon Buri
364,2019,2,Q1,CityEdge,CJSUPERMARKET,Emoney,Rayong
370,2019,2,Q1,CityEdge,CJSUPERMARKET,Emoney,Chachoengsao
