ProvinceEN,ZipCode,latitude,longitude
Nakhon Phanom,48160,17.18825,104.532125
Nakhon Phanom,48170,17.04125,104.65225
Nakhon Phanom,48180,17.51266667,104.08
Nakhon Phanom,48190,17.4662,104.4146
Nakhon Ratchasima,30000,14.96766667,102.1024444
Nakhon Ratchasima,30110,15.24233333,102.5195833
Nakhon Ratchasima,30120,15.60464286,102.4328571
Nakhon Ratchasima,30130,14.6286,101.5104
Nakhon Ratchasima,30140,14.9667,101.6365
Nakhon Ratchasima,30150,14.66970588,101.9757059
Nakhon Ratchasima,30160,15.1876,102.2668667
Nakhon Ratchasima,30170,14.904625,101.823125
Nakhon Ratchasima,30180,15.56238462,102.7062308
Nakhon Ratchasima,30190,14.7617,102.1921
Nakhon Ratchasima,30210,15.23533333,101.6915
Nakhon Ratchasima,30220,15.24033333,102.0132667
Nakhon Ratchasima,30230,14.97266667,102.3899167
Nakhon Ratchasima,30240,15.0354,102.6551
Nakhon Ratchasima,30250,14.47391667,102.2428333
Nakhon Ratchasima,30260,15.4265,102.3128
Nakhon Ratchasima,30270,15.31805882,102.8235882
Nakhon Ratchasima,30280,15.004,101.9378333
Nakhon Ratchasima,30290,15.38628571,102.1718571
Nakhon Ratchasima,30310,15.0622,102.1566
Nakhon Ratchasima,30320,14.599,101.2645
Nakhon Ratchasima,30330,14.3765,102.4735
Nakhon Ratchasima,30340,14.853,101.572
Nakhon Ratchasima,30350,15.57675,102.12075
Nakhon Ratchasima,30360,15.4505,102.53975
Nakhon Ratchasima,30370,14.429,101.88025
Nakhon Ratchasima,30380,14.8225,101.9185
Nakhon Ratchasima,30410,14.72477778,102.373
Nakhon Ratchasima,30420,15.263,102.392
Nakhon Ratchasima,30430,15.5666,102.557
Nakhon Ratchasima,30440,15.6986,102.2422
Nakhon Ratchasima,36220,15.366,101.832
Nakhon Sawan,60000,15.70886667,100.1354667
Nakhon Sawan,60110,15.86055556,100.5633333
Nakhon Sawan,60120,15.87588889,100.2975556
Nakhon Sawan,60130,15.48218182,100.1655455
Nakhon Sawan,60140,15.313,100.33125
Nakhon Sawan,60150,15.75947368,99.68973684
Nakhon Sawan,60160,15.6621,100.4538
Nakhon Sawan,60170,15.576,100.021
Nakhon Sawan,60180,15.98276923,99.98469231
Nakhon Sawan,60190,15.35371429,100.4762857
Nakhon Sawan,60210,15.17925,100.42125
Nakhon Sawan,60220,15.590875,100.680625
Nakhon Sawan,60230,15.8616,100.0892
Nakhon Sawan,60240,15.764,99.981
Nakhon Sawan,60250,15.78666667,100.2663333
Nakhon Sawan,60260,15.169,100.494
Nakhon Si Thammarat,80000,8.405875,99.9615625
Nakhon Si Thammarat,80110,8.140166667,99.64691667
Nakhon Si Thammarat,80120,8.959571429,99.84057143
Nakhon Si Thammarat,80130,8.121625,99.876375
Nakhon Si Thammarat,80140,8.299714286,100.191
Nakhon Si Thammarat,80150,8.4378,99.5048
